code,year,faculty,program,n_rows,applied,passed,min_score,min_score_median,max_score,n_scored_rows,apps_per_admit
10010127703701A,66,คณะครุศาสตร์,หลักสูตรครุศาสตรบัณฑิต,28,8094.0,369.0,45.5665,68.9163,92.222,23,21.934959349593495
10010127703701A,67,คณะครุศาสตร์,หลักสูตรครุศาสตรบัณฑิต,28,8073.0,322.0,48.4944,68.71935,88.111,22,25.071428571428573
10010127703701A,68,คณะครุศาสตร์,หลักสูตรครุศาสตรบัณฑิต,28,4231.0,318.0,51.5054,70.597,90.4028,21,13.30503144654088
10010127703701A,69,คณะครุศาสตร์,หลักสูตรครุศาสตรบัณฑิต,27,4662.0,290.0,43.4374,73.6353,92.3118,21,16.075862068965517
10010138113101A,66,คณะจิตวิทยา,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาจิตวิทยา,3,2896.0,57.0,60.961,61.5305,87.222,3,50.80701754385965
10010138113101A,67,คณะจิตวิทยา,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาจิตวิทยา,3,3743.0,57.0,61.0555,63.5415,87.5,3,65.66666666666667
10010138113101A,68,คณะจิตวิทยา,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาจิตวิทยา,3,2252.0,68.0,63.844,64.361,87.777,3,33.11764705882353
10010138113101A,69,คณะจิตวิทยา,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาจิตวิทยา,3,1716.0,75.0,57.929,62.437,85.492,3,22.88
10010134901001A,66,คณะนิติศาสตร์,หลักสูตรนิติศาสตรบัณฑิต,6,3173.0,250.0,63.1776,68.8305,85.9,6,12.692
10010134901001A,67,คณะนิติศาสตร์,หลักสูตรนิติศาสตรบัณฑิต,6,2068.0,250.0,65.1888,67.1721,84.9666,6,8.272
10010134901001A,68,คณะนิติศาสตร์,หลักสูตรนิติศาสตรบัณฑิต,6,2659.0,250.0,69.1388,71.8305,88.75,6,10.636
10010134901001A,69,คณะนิติศาสตร์,หลักสูตรนิติศาสตรบัณฑิต,6,1926.0,250.0,65.4586,70.1594,86.1762,6,7.704
