exam_family,tcas_year,subject_code,subject_th,subject_en,n_examinees,mean,median,mode,sd,min,max,max_score
A-Level,66,61,คณิตศาสตร์ประยุกต์ 1,Math1,130656,19.407,18.0,15.0,11.37,0.0,100.0,100
A-Level,66,62,คณิตศาสตร์ประยุกต์ 2,Math2,86419,32.142,26.0,15.0,19.538,0.0,100.0,100
A-Level,66,63,วิทยาศาสตร์ประยุกต์,Sci,51740,33.754,32.9,29.8,11.65,2.1,96.8,100
A-Level,66,64,ฟิสิกส์,Phy,96162,21.821,21.0,18.0,10.909,0.0,100.0,100
A-Level,66,65,เคมี,Chem,89568,18.403,17.5,15.0,9.349,0.0,100.0,100
A-Level,66,66,ชีววิทยา,Bio,89417,32.781,30.4,27.2,13.058,2.4,100.0,100
A-Level,66,70,สังคมศึกษา,Soc,145081,41.595,42.0,42.0,10.074,6.0,84.0,100
A-Level,66,81,ภาษาไทย,Thai,148104,56.439,58.0,62.0,11.797,0.0,88.0,100
A-Level,66,82,ภาษาอังกฤษ,Eng,164127,46.009,43.75,31.25,17.134,0.0,100.0,100
A-Level,66,83,ภาษาฝรั่งเศส,Fra,2357,36.652,32.0,26.0,17.697,2.0,100.0,100
A-Level,66,84,ภาษาเยอรมัน,Deu,811,40.273,34.0,34.0,16.975,12.0,100.0,100
A-Level,66,85,ภาษาญี่ปุ่น,Jpn,3833,39.004,34.0,28.0,17.68,6.0,100.0,100
A-Level,66,86,ภาษาเกาหลี,Kor,4009,37.423,34.0,30.0,16.214,10.0,98.0,100
A-Level,66,87,ภาษาจีน,Chi,7929,34.191,29.666,24.0,16.163,6.0,98.0,100
A-Level,66,88,ภาษาบาลี,Bal,748,32.917,32.0,28.0,7.974,14.0,78.0,100
A-Level,66,89,ภาษาสเปน,Esp,622,36.935,32.0,28.0,15.449,10.0,94.0,100
A-Level,67,61,คณิตศาสตร์ประยุกต์ 1,Math1,136214,20.568,18.0,18.0,10.275,0.0,100.0,100
A-Level,67,62,คณิตศาสตร์ประยุกต์ 2,Math2,99244,26.95,23.0,15.0,16.235,0.0,100.0,100
A-Level,67,63,วิทยาศาสตร์ประยุกต์,Sci,56857,40.017,38.3,35.1,12.156,3.2,96.8,100
A-Level,67,64,ฟิสิกส์,Phy,98326,20.615,18.0,15.0,13.862,0.0,100.0,100
A-Level,67,65,เคมี,Chem,92007,19.106,17.5,17.5,8.433,0.0,100.0,100
A-Level,67,66,ชีววิทยา,Bio,91539,34.533,32.0,28.8,12.828,2.4,98.4,100
A-Level,67,70,สังคมศึกษา,Soc,147503,35.183,34.0,34.0,9.422,0.0,84.0,100
A-Level,67,81,ภาษาไทย,Thai,152053,57.399,58.0,60.0,11.061,8.0,96.0,100
A-Level,67,82,ภาษาอังกฤษ,Eng,168572,42.081,37.5,27.5,17.746,1.25,100.0,100
A-Level,67,83,ภาษาฝรั่งเศส,Fra,2263,38.705,32.0,28.0,18.367,6.0,100.0,100
A-Level,67,84,ภาษาเยอรมัน,Deu,833,34.667,28.0,26.0,17.442,8.0,98.0,100
A-Level,67,85,ภาษาญี่ปุ่น,Jpn,3769,38.638,32.0,24.0,19.217,6.0,100.0,100
A-Level,67,86,ภาษาเกาหลี,Kor,3281,35.398,30.0,28.0,15.758,6.0,96.0,100
A-Level,67,87,ภาษาจีน,Chi,7082,35.087,30.0,28.0,15.898,0.0,100.0,100
A-Level,67,88,ภาษาบาลี,Bal,473,31.154,30.0,32.0,8.275,12.0,78.0,100
A-Level,67,89,ภาษาสเปน,Esp,759,34.176,30.0,26.0,16.424,10.0,98.0,100
A-Level,68,61,คณิตศาสตร์ประยุกต์ 1,Math1,143546,20.998,18.0,15.0,11.886,0.0,100.0,100
A-Level,68,62,คณิตศาสตร์ประยุกต์ 2,Math2,103352,34.721,30.0,21.0,17.555,6.0,100.0,100
A-Level,68,63,วิทยาศาสตร์ประยุกต์,Sci,55035,38.497,37.2,35.1,11.618,3.2,94.7,100
A-Level,68,64,ฟิสิกส์,Phy,104403,21.4,18.0,15.0,12.373,3.0,100.0,100
A-Level,68,65,เคมี,Chem,96520,25.222,22.5,20.0,11.864,5.0,100.0,100
A-Level,68,66,ชีววิทยา,Bio,94183,34.956,32.0,28.0,13.273,4.8,100.0,100
A-Level,68,70,สังคมศึกษา,Soc,154287,41.652,40.0,40.0,9.898,6.0,92.0,100
A-Level,68,81,ภาษาไทย,Thai,159079,56.089,58.0,60.0,10.888,0.0,92.0,100
A-Level,68,82,ภาษาอังกฤษ,Eng,177912,46.3,42.5,30.0,18.461,0.0,100.0,100
A-Level,68,83,ภาษาฝรั่งเศส,Fra,2425,33.03,28.0,24.0,16.583,6.0,98.0,100
A-Level,68,84,ภาษาเยอรมัน,Deu,878,35.015,30.0,28.0,15.518,6.0,96.0,100
A-Level,68,85,ภาษาญี่ปุ่น,Jpn,4230,41.825,36.0,28.0,19.495,8.0,100.0,100
A-Level,68,86,ภาษาเกาหลี,Kor,2820,37.102,34.0,28.0,15.788,8.0,100.0,100
A-Level,68,87,ภาษาจีน,Chi,8223,33.134,28.0,24.0,16.881,6.0,100.0,100
A-Level,68,88,ภาษาบาลี,Bal,406,29.758,30.0,32.0,8.337,12.0,98.0,100
A-Level,68,89,ภาษาสเปน,Esp,1013,35.243,30.0,28.0,17.892,12.0,100.0,100
A-Level,69,61,คณิตศาสตร์ประยุกต์ 1,Math1,142854,20.443,18.0,15.0,10.849,0.0,100.0,100
A-Level,69,62,คณิตศาสตร์ประยุกต์ 2,Math2,99029,39.022,35.0,27.0,18.595,0.0,100.0,100
A-Level,69,63,วิทยาศาสตร์ประยุกต์,Sci,53340,47.282,45.6,45.6,9.739,20.0,100.0,100
A-Level,69,64,ฟิสิกส์,Phy,107914,24.767,23.0,20.0,9.673,5.0,100.0,100
A-Level,69,65,เคมี,Chem,98811,22.488,20.0,17.5,12.755,2.5,100.0,100
A-Level,69,66,ชีววิทยา,Bio,96946,33.502,31.2,28.8,12.363,1.6,100.0,100
A-Level,69,70,สังคมศึกษา,Soc,152961,38.589,38.0,38.0,8.956,0.0,84.0,100
A-Level,69,81,ภาษาไทย,Thai,157890,54.602,56.0,56.0,11.63,2.0,98.0,100
A-Level,69,82,ภาษาอังกฤษ,Eng,178786,42.424,38.75,26.25,17.433,1.25,98.75,100
A-Level,69,83,ภาษาฝรั่งเศส,Fra,2250,38.865,32.0,28.0,18.273,10.0,98.0,100
A-Level,69,84,ภาษาเยอรมัน,Deu,721,38.643,32.0,28.0,18.0,10.0,96.0,100
