code,program,faculty,point,lo80,hi80,lo95,hi95,model,beat_baseline
10010121300001A,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมศาสตร์,คณะวิศวกรรมศาสตร์,54.6525,43.8793,60.6671,35.3692,62.6228,lvcf,False
10010121300501A,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,คณะวิศวกรรมศาสตร์,65.9408,55.1676,71.9554,46.6575,73.9111,lvcf,False
10010121300599A,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล,คณะวิศวกรรมศาสตร์,61.1232,50.35,67.1378,41.8399,69.0935,lvcf,False
10010121301101A,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมนิวเคลียร์และรังสี,คณะวิศวกรรมศาสตร์,51.8766,41.1034,57.8912,32.5933,59.8469,lvcf,False
10010121302101A,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโยธา,คณะวิศวกรรมศาสตร์,54.9197,44.1465,60.9343,35.6364,62.89,lvcf,False
10010121302501A,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมโลหการและวัสดุ,คณะวิศวกรรมศาสตร์,49.7129,38.9397,55.7275,30.4296,57.6832,lvcf,False
10010121302701A,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสำรวจ,คณะวิศวกรรมศาสตร์,51.9756,41.2024,57.9902,32.6923,59.9459,lvcf,False
10010121302801A,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมสิ่งแวดล้อม,คณะวิศวกรรมศาสตร์,52.0636,41.2904,58.0782,32.7803,60.0339,lvcf,False
10010121303001A,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมทรัพยากรธรณี,คณะวิศวกรรมศาสตร์,48.0022,37.229,54.0168,28.7189,55.9725,lvcf,False
10010121303501A,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมอุตสาหการ,คณะวิศวกรรมศาสตร์,71.2572,60.484,77.2718,51.9739,79.2275,lvcf,False
10010122904301A,หลักสูตรอักษรศาสตรบัณฑิต,คณะอักษรศาสตร์,71.0,60.2268,77.0146,51.7167,78.9703,lvcf,False
10010123210301A,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาคณิตศาสตร์,คณะวิทยาศาสตร์,50.6818,39.9086,56.6964,31.3985,58.6521,lvcf,False
10010123210401A,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเคมี,คณะวิทยาศาสตร์,45.0929,34.3197,51.1075,25.8096,53.0632,lvcf,False
10010123210402A,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเคมีวิศวกรรม,คณะวิทยาศาสตร์,44.1074,33.3342,50.122,24.8241,52.0777,lvcf,False
10010123210501A,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาจุลชีววิทยา,คณะวิทยาศาสตร์,39.6379,28.8647,45.6525,20.3546,47.6082,lvcf,False
10010123210601A,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาชีวเคมี,คณะวิทยาศาสตร์,43.8118,33.0386,49.8264,24.5285,51.7821,lvcf,False
10010123210701A,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาชีววิทยา,คณะวิทยาศาสตร์,57.6304,46.8572,63.645,38.3471,65.6007,lvcf,False
10010123210901A,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีทางภาพและการพิมพ์,คณะวิทยาศาสตร์,44.8885,34.1153,50.9031,25.6052,52.8588,lvcf,False
10010123211001A,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคโนโลยีทางอาหาร,คณะวิทยาศาสตร์,40.648,29.8748,46.6626,21.3647,48.6183,lvcf,False
10010123212301A,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาธรณีวิทยา,คณะวิทยาศาสตร์,56.2306,45.4574,62.2452,36.9473,64.2009,lvcf,False
10010123212501A,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาพฤกษศาสตร์,คณะวิทยาศาสตร์,42.4332,31.66,48.4478,23.1499,50.4035,lvcf,False
10010123212601A,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาพันธุศาสตร์,คณะวิทยาศาสตร์,44.7732,34.0,50.7878,25.4899,52.7435,lvcf,False
10010123212701A,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาฟิสิกส์,คณะวิทยาศาสตร์,44.9739,34.2007,50.9885,25.6906,52.9442,lvcf,False
10010123212801A,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวัสดุศาสตร์และเทคโนโลยี,คณะวิทยาศาสตร์,36.1664,25.3932,42.181,16.8831,44.1367,lvcf,False
10010123213001A,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์ทางทะเล,คณะวิทยาศาสตร์,41.4956,30.7224,47.5102,22.2123,49.4659,lvcf,False
10010123213101A,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์สิ่งแวดล้อม,คณะวิทยาศาสตร์,34.5597,23.7865,40.5743,15.2764,42.53,lvcf,False
10010123213201A,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาสัตววิทยา,คณะวิทยาศาสตร์,57.3,46.5268,63.3146,38.0167,65.2703,lvcf,False
10010123213501A,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาการคอมพิวเตอร์,คณะวิทยาศาสตร์,56.5974,45.8242,62.612,37.3141,64.5677,lvcf,False
10010124903201A,หลักสูตรรัฐศาสตรบัณฑิต,คณะรัฐศาสตร์,66.8798,56.1066,72.8944,47.5965,74.8501,lvcf,False
10010125400201A,หลักสูตรการออกแบบอุตสาหกรรมบัณฑิต สาขาวิชาการออกแบบอุตสาหกรรม,คณะสถาปัตยกรรมศาสตร์,54.25,43.4768,60.2646,34.9667,62.2203,lvcf,False
10010125400301A,หลักสูตรภูมิสถาปัตยกรรมศาสตรบัณฑิต สาขาวิชาภูมิสถาปัตยกรรม,คณะสถาปัตยกรรมศาสตร์,53.6,42.8268,59.6146,34.3167,61.5703,lvcf,False
10010125400401A,หลักสูตรสถาปัตยกรรมศาสตรบัณฑิต สาขาวิชาสถาปัตยกรรมผังเมือง,คณะสถาปัตยกรรมศาสตร์,50.9,40.1268,56.9146,31.6167,58.8703,lvcf,False
10010125400501A,หลักสูตรสถาปัตยกรรมศาสตรบัณฑิต สาขาวิชาสถาปัตยกรรม,คณะสถาปัตยกรรมศาสตร์,59.35,48.5768,65.3646,40.0667,67.3203,lvcf,False
10010125400701A,หลักสูตรสถาปัตยกรรมศาสตรบัณฑิต สาขาวิชาสถาปัตยกรรมภายใน,คณะสถาปัตยกรรมศาสตร์,57.9,47.1268,63.9146,38.6167,65.8703,lvcf,False
10010126610501A,หลักสูตรบัญชีบัณฑิต,คณะพาณิชยศาสตร์และการบัญชี,59.8872,49.114,65.9018,40.6039,67.8575,lvcf,False
10010126610801A,หลักสูตรบริหารธุรกิจบัณฑิต,คณะพาณิชยศาสตร์และการบัญชี,55.664,44.8908,61.6786,36.3807,63.6343,lvcf,False
10010126610901A,หลักสูตรสถิติศาสตรบัณฑิต,คณะพาณิชยศาสตร์และการบัญชี,53.4068,42.6336,59.4214,34.1235,61.3771,lvcf,False
10010127703701A,หลักสูตรครุศาสตรบัณฑิต,คณะครุศาสตร์,43.4374,32.6642,49.452,24.1541,51.4077,lvcf,False
10010128901101A,หลักสูตรนิเทศศาสตรบัณฑิต,คณะนิเทศศาสตร์,61.4378,50.6646,67.4524,42.1545,69.4081,lvcf,False
10010129611101A,หลักสูตรเศรษฐศาสตรบัณฑิต,คณะเศรษฐศาสตร์,59.7348,48.9616,65.7494,40.4515,67.7051,lvcf,False
10010134901001A,หลักสูตรนิติศาสตรบัณฑิต,คณะนิติศาสตร์,65.4586,54.6854,71.4732,46.1753,73.4289,lvcf,False
10010137110101A,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชากายภาพบำบัด,คณะสหเวชศาสตร์,60.9182,50.145,66.9328,41.6349,68.8885,lvcf,False
10010137111301A,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคนิคการแพทย์,คณะสหเวชศาสตร์,54.3526,43.5794,60.3672,35.0693,62.3229,lvcf,False
10010137111801A,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาโภชนาการและการกำหนดอาหาร,คณะสหเวชศาสตร์,46.0301,35.2569,52.0447,26.7468,54.0004,lvcf,False
10010137111901A,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชารังสีเทคนิค,คณะสหเวชศาสตร์,52.8165,42.0433,58.8311,33.5332,60.7868,lvcf,False
10010138113101A,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาจิตวิทยา,คณะจิตวิทยา,57.929,47.1558,63.9436,38.6457,65.8993,lvcf,False
10010139112001A,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์การกีฬาและการออกกำลังกาย,คณะวิทยาศาสตร์การกีฬา,58.9732,48.2,64.9878,39.6899,66.9435,lvcf,False
10010140900301A,หลักสูตรศิลปศาสตรและวิทยาศาสตรบัณฑิต สาขาวิชาการบริหารจัดการทรัพยากรการเกษตร,สำนักวิชาทรัพยากรการเกษตร,53.3968,42.6236,59.4114,34.1135,61.3671,lvcf,False
