major,year,floor,floor_med,top,pct_rank,live_routes,routes,applied,passed,quota,apps_per_admit,dead_routes
การปกครอง,66,64.775,64.9693,81.3583,78.6533,5,7,979.0,61.0,61.0,16.0492,2
การปกครอง,67,63.2861,63.468,83.4027,75.5874,6,7,1868.0,61.0,61.0,30.623,1
การปกครอง,68,70.8694,71.2277,77.4583,83.66,7,7,1911.0,61.0,61.0,31.3279,0
การปกครอง,69,66.8798,67.3478,86.5853,78.5571,6,7,1026.0,61.0,61.0,16.8197,1
ความสัมพันธ์ระหว่างประเทศ,66,74.8082,76.0847,83.0332,89.9854,8,8,4641.0,66.0,66.0,70.3182,0
ความสัมพันธ์ระหว่างประเทศ,67,73.3,76.2458,86.7416,88.6689,8,8,3480.0,66.0,66.0,52.7273,0
ความสัมพันธ์ระหว่างประเทศ,68,78.25,78.9735,88.1582,90.9868,8,8,2768.0,66.0,66.0,41.9394,0
ความสัมพันธ์ระหว่างประเทศ,69,73.9924,74.6952,87.6358,87.3388,6,8,1621.0,66.0,66.0,24.5606,2
รัฐประศาสนศาสตร์,66,62.85,64.4304,74.9666,77.7995,7,7,621.0,66.0,66.0,9.4091,0
รัฐประศาสนศาสตร์,67,63.2526,63.3276,71.2472,75.3759,7,7,1376.0,66.0,66.0,20.8485,0
รัฐประศาสนศาสตร์,68,68.1582,68.3429,77.2985,79.706,2,7,826.0,66.0,66.0,12.5152,5
รัฐประศาสนศาสตร์,69,68.2995,68.3276,74.1873,79.7243,3,8,2203.0,67.0,67.0,32.8806,5
สังคมวิทยาและมานุษยวิทยา,66,70.118,70.125,83.8958,84.6548,3,8,2786.0,61.0,61.0,45.6721,5
สังคมวิทยาและมานุษยวิทยา,67,69.7915,70.0625,75.9443,83.1297,5,8,2550.0,61.0,61.0,41.8033,3
สังคมวิทยาและมานุษยวิทยา,68,73.2985,73.4236,80.611,86.2352,6,8,1902.0,61.0,61.0,31.1803,2
สังคมวิทยาและมานุษยวิทยา,69,69.9938,70.3783,82.6863,82.8035,6,8,1381.0,64.0,64.0,21.5781,2
