major,elective,year,applied,passed,min_score,max_score,quota
การปกครอง,คณิตศาสตร์ประยุกต์ 2,66,505.0,37.0,64.775,81.3583,61.0
การปกครอง,คณิตศาสตร์ประยุกต์ 2,67,1212.0,28.0,63.2916,70.2083,61.0
การปกครอง,คณิตศาสตร์ประยุกต์ 2,68,1238.0,37.0,70.8694,77.4583,61.0
การปกครอง,คณิตศาสตร์ประยุกต์ 2,69,599.0,46.0,66.8798,86.5853,61.0
การปกครอง,ภาษาจีน,66,137.0,6.0,64.9693,75.9304,61.0
การปกครอง,ภาษาจีน,67,137.0,4.0,63.2861,66.3583,61.0
การปกครอง,ภาษาจีน,68,151.0,5.0,70.8805,72.7583,61.0
การปกครอง,ภาษาจีน,69,90.0,2.0,68.089,68.5666,61.0
การปกครอง,ภาษาญี่ปุ่น,66,70.0,1.0,65.9111,68.125,61.0
การปกครอง,ภาษาญี่ปุ่น,67,118.0,5.0,63.6888,83.4027,61.0
การปกครอง,ภาษาญี่ปุ่น,68,129.0,5.0,71.1138,75.6777,61.0
การปกครอง,ภาษาญี่ปุ่น,69,83.0,2.0,66.9904,67.5,61.0
การปกครอง,ภาษาฝรั่งเศส,66,117.0,14.0,65.2555,75.9138,61.0
การปกครอง,ภาษาฝรั่งเศส,67,152.0,7.0,63.3861,67.2444,61.0
การปกครอง,ภาษาฝรั่งเศส,68,160.0,5.0,71.2277,72.5527,61.0
การปกครอง,ภาษาฝรั่งเศส,69,100.0,5.0,67.5478,69.9435,61.0
การปกครอง,ภาษาสเปน,66,26.0,0.0,,,61.0
การปกครอง,ภาษาสเปน,67,54.0,4.0,63.55,68.525,61.0
การปกครอง,ภาษาสเปน,68,67.0,2.0,72.2361,73.6361,61.0
การปกครอง,ภาษาสเปน,69,50.0,3.0,67.1479,69.5055,61.0
การปกครอง,ภาษาเกาหลี,66,88.0,3.0,64.9166,67.4777,61.0
การปกครอง,ภาษาเกาหลี,67,124.0,13.0,64.8277,70.1833,61.0
การปกครอง,ภาษาเกาหลี,68,100.0,2.0,72.8333,72.8583,61.0
การปกครอง,ภาษาเกาหลี,69,51.0,0.0,,,61.0
การปกครอง,ภาษาเยอรมัน,66,36.0,0.0,,,61.0
การปกครอง,ภาษาเยอรมัน,67,71.0,0.0,,,61.0
การปกครอง,ภาษาเยอรมัน,68,66.0,5.0,71.3722,76.3333,61.0
การปกครอง,ภาษาเยอรมัน,69,53.0,3.0,68.4799,72.7751,61.0
ความสัมพันธ์ระหว่างประเทศ,คณิตศาสตร์ประยุกต์ 2,66,563.0,8.0,76.8194,83.0332,66.0
ความสัมพันธ์ระหว่างประเทศ,คณิตศาสตร์ประยุกต์ 2,67,437.0,3.0,76.8666,83.375,66.0
ความสัมพันธ์ระหว่างประเทศ,คณิตศาสตร์ประยุกต์ 2,68,473.0,5.0,79.3054,85.9666,66.0
ความสัมพันธ์ระหว่างประเทศ,คณิตศาสตร์ประยุกต์ 2,69,350.0,12.0,73.9924,86.1202,66.0
ความสัมพันธ์ระหว่างประเทศ,ภาษาจีน,66,138.0,3.0,75.6944,80.2416,66.0
ความสัมพันธ์ระหว่างประเทศ,ภาษาจีน,67,172.0,1.0,82.0638,82.0638,66.0
ความสัมพันธ์ระหว่างประเทศ,ภาษาจีน,68,116.0,3.0,78.9554,85.8776,66.0
ความสัมพันธ์ระหว่างประเทศ,ภาษาจีน,69,95.0,4.0,74.5256,83.2996,66.0
ความสัมพันธ์ระหว่างประเทศ,ภาษาญี่ปุ่น,66,104.0,4.0,74.9972,79.4,66.0
ความสัมพันธ์ระหว่างประเทศ,ภาษาญี่ปุ่น,67,116.0,2.0,78.9888,85.5416,66.0
ความสัมพันธ์ระหว่างประเทศ,ภาษาญี่ปุ่น,68,140.0,7.0,79.775,87.1166,66.0
ความสัมพันธ์ระหว่างประเทศ,ภาษาญี่ปุ่น,69,85.0,4.0,76.1752,80.6232,66.0
ความสัมพันธ์ระหว่างประเทศ,ภาษาฝรั่งเศส,66,107.0,4.0,75.2,82.6472,66.0
ความสัมพันธ์ระหว่างประเทศ,ภาษาฝรั่งเศส,67,154.0,11.0,75.3776,86.7416,66.0
ความสัมพันธ์ระหว่างประเทศ,ภาษาฝรั่งเศส,68,141.0,7.0,78.8776,87.45,66.0
ความสัมพันธ์ระหว่างประเทศ,ภาษาฝรั่งเศส,69,92.0,10.0,74.8648,84.2778,66.0
ความสัมพันธ์ระหว่างประเทศ,ภาษาสเปน,66,32.0,2.0,76.8026,78.4026,66.0
ความสัมพันธ์ระหว่างประเทศ,ภาษาสเปน,67,39.0,3.0,73.425,78.4776,66.0
ความสัมพันธ์ระหว่างประเทศ,ภาษาสเปน,68,53.0,7.0,79.0694,84.3832,66.0
ความสัมพันธ์ระหว่างประเทศ,ภาษาสเปน,69,40.0,0.0,,,66.0
ความสัมพันธ์ระหว่างประเทศ,ภาษาเกาหลี,66,92.0,2.0,78.8776,78.9222,66.0
ความสัมพันธ์ระหว่างประเทศ,ภาษาเกาหลี,67,118.0,1.0,75.625,75.625,66.0
ความสัมพันธ์ระหว่างประเทศ,ภาษาเกาหลี,68,83.0,2.0,78.9916,79.5694,66.0
ความสัมพันธ์ระหว่างประเทศ,ภาษาเกาหลี,69,50.0,0.0,,,66.0
ความสัมพันธ์ระหว่างประเทศ,ภาษาเยอรมัน,66,63.0,4.0,76.475,77.2026,66.0
ความสัมพันธ์ระหว่างประเทศ,ภาษาเยอรมัน,67,66.0,4.0,77.8082,85.65,66.0
ความสัมพันธ์ระหว่างประเทศ,ภาษาเยอรมัน,68,60.0,2.0,78.4332,78.9054,66.0
ความสัมพันธ์ระหว่างประเทศ,ภาษาเยอรมัน,69,41.0,2.0,78.04,87.6358,66.0
ความสัมพันธ์ระหว่างประเทศ,ภาษาไทย,66,3542.0,39.0,74.8082,82.9138,66.0
ความสัมพันธ์ระหว่างประเทศ,ภาษาไทย,67,2378.0,41.0,73.3,80.9916,66.0
